gene	B_cells_EA	B_cells_AA	CAFs_EA	CAFs_AA	Cancer_EA	Cancer_AA	Cycling_Myeloid_EA	Cycling_Myeloid_AA	Cycling_PVL_EA	Cycling_PVL_AA	Endothelial_EA	Endothelial_AA	IFN-resp.neutrophil_EA	IFN-resp.neutrophil_AA	IL.8.neutrophil_EA	IL.8.neutrophil_AA	Lum_Prog_EA	Lum_Prog_AA	Mature_Lum_EA	Mature_Lum_AA	Myeloid_DC_EA	Myeloid_DC_AA	Myeloid_Macrophage_EA	Myeloid_Macrophage_AA	Myeloid_Monocyte_EA	Myeloid_Monocyte_AA	Myoepithelial_EA	Myoepithelial_AA	PVL_EA	PVL_AA	Plasmablast_EA	Plasmablast_AA	T_cells_EA	T_cells_AA	T_cells_CD4_EA	T_cells_CD4_AA	T_cells_CD4_Tfh_EA	T_cells_CD4_Tfh_AA	T_cells_CD4_Tregs_EA	T_cells_CD4_Tregs_AA	T_cells_CD8_EA	T_cells_CD8_AA	T_cells_NK_EA	T_cells_NK_AA	T_cells_NKT_EA	T_cells_NKT_AA	calprotectin.neutrophil_EA	calprotectin.neutrophil_AA	degraulating.neutrophil_EA	degraulating.neutrophil_AA
GLT8D2	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADAMTS7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GJC1	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MSRB3	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02
FIBIN	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GOLIM4	0.00	0.00	0.00	0.04	0.00	0.01	0.00	0.02	0.00	0.04	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.02	0.00	0.01	0.00	0.02	0.00	0.03	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.01
GALNT5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PDGFA	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.07	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EDIL3	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TMEM47	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
