gene	B_cells_EA	B_cells_AA	CAFs_EA	CAFs_AA	Cancer_EA	Cancer_AA	Cycling_Myeloid_EA	Cycling_Myeloid_AA	Cycling_PVL_EA	Cycling_PVL_AA	Endothelial_EA	Endothelial_AA	IFN-resp.neutrophil_EA	IFN-resp.neutrophil_AA	IL.8.neutrophil_EA	IL.8.neutrophil_AA	Lum_Prog_EA	Lum_Prog_AA	Mature_Lum_EA	Mature_Lum_AA	Myeloid_DC_EA	Myeloid_DC_AA	Myeloid_Macrophage_EA	Myeloid_Macrophage_AA	Myeloid_Monocyte_EA	Myeloid_Monocyte_AA	Myoepithelial_EA	Myoepithelial_AA	PVL_EA	PVL_AA	Plasmablast_EA	Plasmablast_AA	T_cells_EA	T_cells_AA	T_cells_CD4_EA	T_cells_CD4_AA	T_cells_CD4_Tfh_EA	T_cells_CD4_Tfh_AA	T_cells_CD4_Tregs_EA	T_cells_CD4_Tregs_AA	T_cells_CD8_EA	T_cells_CD8_AA	T_cells_NK_EA	T_cells_NK_AA	T_cells_NKT_EA	T_cells_NKT_AA	calprotectin.neutrophil_EA	calprotectin.neutrophil_AA	degraulating.neutrophil_EA	degraulating.neutrophil_AA
PTGS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CCDC97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SPIB	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
BIN3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
TRAFD1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
SNAP23	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00
RAB4B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00
UNC13D	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.02	0.00
S100A8	0.00	0.00	0.00	0.00	0.05	0.00	0.05	0.00	0.01	0.00	0.00	0.00	0.17	0.02	0.12	0.01	0.01	0.00	0.00	0.00	0.01	0.00	0.04	0.00	0.15	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.17	0.02	0.22	0.02
TAGLN2	0.12	0.01	0.14	0.02	0.18	0.02	0.17	0.02	0.22	0.03	0.20	0.02	0.17	0.02	0.15	0.02	0.18	0.02	0.16	0.02	0.21	0.02	0.11	0.01	0.13	0.02	0.17	0.02	0.18	0.02	0.05	0.01	0.15	0.02	0.15	0.02	0.15	0.02	0.16	0.02	0.12	0.01	0.17	0.02	0.13	0.01	0.16	0.02	0.11	0.01
LMNA	0.02	0.00	0.12	0.00	0.11	0.00	0.08	0.00	0.15	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.16	0.01	0.16	0.01	0.06	0.00	0.07	0.00	0.04	0.00	0.16	0.01	0.14	0.00	0.02	0.00	0.04	0.00	0.07	0.00	0.06	0.00	0.06	0.00	0.04	0.00	0.06	0.00	0.02	0.00	0.00	0.00	0.00	0.00
ISG20	0.17	0.06	0.01	0.00	0.05	0.02	0.04	0.01	0.02	0.01	0.03	0.01	0.18	0.06	0.11	0.04	0.04	0.01	0.04	0.01	0.09	0.03	0.05	0.02	0.06	0.02	0.01	0.00	0.01	0.00	0.15	0.05	0.24	0.08	0.12	0.04	0.12	0.04	0.17	0.06	0.15	0.05	0.13	0.05	0.12	0.04	0.08	0.03	0.01	0.00
MAP2K3	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.02	0.01	0.01	0.00	0.03	0.01	0.01	0.00	0.02	0.00	0.01	0.00	0.02	0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.03	0.01	0.02	0.01
PYCARD	0.02	0.01	0.02	0.00	0.06	0.02	0.09	0.02	0.02	0.01	0.02	0.00	0.03	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.06	0.02	0.09	0.02	0.10	0.03	0.02	0.00	0.01	0.00	0.02	0.00	0.03	0.01	0.01	0.00	0.02	0.00	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.03	0.01	0.05	0.01
RPS9	0.59	0.14	0.50	0.12	0.47	0.11	0.47	0.11	0.48	0.11	0.47	0.11	0.20	0.05	0.22	0.05	0.66	0.16	0.55	0.13	0.56	0.13	0.45	0.11	0.57	0.14	0.57	0.14	0.50	0.12	0.33	0.08	0.52	0.12	0.57	0.13	0.52	0.12	0.48	0.11	0.51	0.12	0.52	0.12	0.47	0.11	0.15	0.04	0.22	0.05
